# MODIS Terra GEOGRAPHIC METADATA TEXT FILE day 2022-07-25
# NFiles = 119, max geo IngestTime = 2022-07-25 15:22:08.311176
# GranuleID,StartDateTime,ArchiveSet,OrbitNumber,DayNightFlag,EastBoundingCoord,NorthBoundingCoord,SouthBoundingCoord,WestBoundingCoord,GRingLongitude1,GRingLongitude2,GRingLongitude3,GRingLongitude4,GRingLatitude1,GRingLatitude2,GRingLatitude3,GRingLatitude4
MOD03.A2022206.0130.061.2022206074203.hdf,2022-07-25 01:30,61,120209,D,139.981116292431,-18.8189258185122,-40.0094342080953,111.029353362411,117.759005362906,140.287455995904,137.709976277706,111.003787267633,-18.8017532367994,-22.0542957475,-40.2460348700766,-36.154023412242
MOD03.A2022206.0135.061.2022206074159.hdf,2022-07-25 01:35,61,120209,D,137.745622663664,-36.0865662604328,-57.8496079422833,99.6637688070008,111.057444136649,138.240726444247,136.697262464344,99.4925535488912,-36.0740617920066,-39.9426293472877,-58.1846942146422,-52.4479354689297
MOD03.A2022206.0140.061.2022206074333.hdf,2022-07-25 01:40,61,120209,B,140.02069349927,-52.4385789006399,-75.6942211149858,75.5948820547963,99.7282105259643,137.405812136396,140.160811419063,75.2489188148286,-52.4316167873688,-57.7451976990776,-75.9261707106224,-66.0089725892969
MOD03.A2022206.0145.061.2022206074828.hdf,2022-07-25 01:45,61,120209,N,180,-66.1468364365356,-89.9863988394155,-180,75.7582507009882,141.508729893778,-87.6444398501746,26.4506786377231,-66.1421802570309,-75.358093575102,-85.1765306834636,-70.3604780183703
MOD03.A2022206.0150.061.2022206074519.hdf,2022-07-25 01:50,61,120209,N,26.470739683871,-61.3544182773973,-86.5103768245926,-91.7909808754054,26.4726544516012,-95.2652597641766,-63.2352049359131,-12.6680198394037,-70.7178163383517,-85.3555231580434,-68.0690517695839,-61.0778494755025
MOD03.A2022206.0155.061.2022206092251.hdf,2022-07-25 01:55,61,120209,N,-13.254597363161,-46.143600562855,-68.6651650931385,-63.4245340573394,-13.2530021798281,-64.0669371081495,-62.688734148512,-30.2067209365127,-61.4145797186436,-68.5625520027091,-50.2863917563055,-45.9604033215002
MOD03.A2022206.0200.061.2022206092144.hdf,2022-07-25 02:00,61,120209,N,-30.7834984761318,-29.3342470729167,-50.7394304294235,-64.3057838399912,-30.7820427468311,-62.9191846393103,-64.3255591846446,-39.347291925307,-46.215389345437,-50.7535345072916,-32.5257167104882,-29.2241919881832
MOD03.A2022206.0205.061.2022206092144.hdf,2022-07-25 02:05,61,120209,N,-39.7985872123063,-11.8711086960682,-32.8768124114935,-66.8979224281646,-39.794775766207,-64.3985158380331,-66.9200786852928,-45.2041361423762,-29.4081791844877,-32.8972883004135,-14.7429984382149,-11.8122393007705
MOD03.A2022206.0210.061.2022206092140.hdf,2022-07-25 02:10,61,120209,N,-45.5240052915669,5.91016510740244,-14.9673661061312,-70.3505902513419,-45.5177857856886,-66.9051716586527,-70.3605799581364,-49.4702704300234,-11.9447048277935,-14.988056338371,2.99341087073081,5.92746987736807
MOD03.A2022206.0215.061.2022206092143.hdf,2022-07-25 02:15,61,120210,N,-49.6027119968527,23.8253862496007,2.90456683100735,-75.0313355182465,-49.5641361845035,-70.3433415872196,-75.0841153430426,-52.7312753147183,5.84061203526265,2.88754840050177,20.6632824166516,23.9469329195954
MOD03.A2022206.0220.061.2022206092145.hdf,2022-07-25 02:20,61,120210,N,-52.7075075137668,41.765156540075,20.6030883444141,-81.9350145531027,-52.4893920955353,-75.0133958524407,-82.0862350672189,-55.0263869735221,23.7655210749902,20.5886669739299,37.9230308610363,42.0122578257445
MOD03.A2022206.0225.061.2022206092151.hdf,2022-07-25 02:25,61,120210,N,-54.9890486060735,59.6716208641149,37.8956524007233,-93.9681437613823,-54.5652542979813,-81.904056465602,-94.259459968433,-56.058598857701,41.6975880045653,37.886317817495,54.1859822712416,60.008718124162
MOD03.A2022206.0230.061.2022206092226.hdf,2022-07-25 02:30,61,120210,B,-52.0844443031497,77.5967851094991,54.224446930289,-120.422041851291,-55.389694783342,-93.9034360551827,-120.844620312366,-51.8936704618023,59.567396745278,54.2199829188141,67.3732906825345,77.818869284543
MOD03.A2022206.0235.061.2022206092634.hdf,2022-07-25 02:35,61,120210,D,180,89.9877143424197,67.5789409489623,-180,-50.3029803441064,-120.259419337321,-172.143796330154,91.1579166322013,77.2483792971358,67.5766600377252,70.2073980376545,83.5395447832552
