# MODIS Terra GEOGRAPHIC METADATA TEXT FILE day 2022-07-24
# NFiles = 119, max geo IngestTime = 2022-07-24 15:27:38.515844
# GranuleID,StartDateTime,ArchiveSet,OrbitNumber,DayNightFlag,EastBoundingCoord,NorthBoundingCoord,SouthBoundingCoord,WestBoundingCoord,GRingLongitude1,GRingLongitude2,GRingLongitude3,GRingLongitude4,GRingLatitude1,GRingLatitude2,GRingLatitude3,GRingLatitude4
MOD03.A2022205.0130.061.2022205070348.hdf,2022-07-24 01:30,61,120194,N,-37.4616286508469,17.4187341754142,-3.46777165413296,-62.366277515913,-37.4557229673333,-58.1891783669142,-62.3978379456802,-40.8632536911924,-0.536447707933826,-3.48564326253406,14.3789051311929,17.495150751933
MOD03.A2022205.0135.061.2022205070357.hdf,2022-07-24 01:35,61,120195,N,-40.8821232969524,35.3595351922236,14.3122830553602,-68.2933183855411,-40.728844235563,-62.3538787155594,-68.4003967139018,-43.4982890430344,17.3578279077379,14.2965138269482,31.8296783674924,35.5636585101205
MOD03.A2022205.0140.061.2022205070356.hdf,2022-07-24 01:40,61,120195,N,-43.4626951979862,53.2758260112853,31.7865850999674,-77.915210842713,-43.1183051508007,-68.2677847961148,-78.1577003646454,-45.1023739278194,35.2962985301113,31.7746897868291,48.5586932464506,53.5917975004004
MOD03.A2022205.0145.061.2022205070433.hdf,2022-07-24 01:45,61,120195,B,-44.1721292675804,71.1923917954589,48.5692517497648,-97.3863059162579,-44.5548930873432,-77.8701909238695,-97.7910594422108,-44.1540166959836,53.1952314872737,48.5629158525392,63.3117632121054,71.4996855076156
MOD03.A2022205.0150.061.2022205070746.hdf,2022-07-24 01:50,61,120195,D,16.8556992188978,89.1215450230394,63.4394758023115,-141.782784516732,-42.8964086055091,-97.2628707676934,-141.812228347107,25.9080915271332,70.9766829241256,63.4344653064905,71.014277392851,87.4639910005218
MOD03.A2022205.0155.061.2022205091239.hdf,2022-07-24 01:55,61,120195,D,180,89.9876493140306,64.6609342842156,-180,17.4849911571386,-141.551091846328,171.994704541247,114.88595293433,86.9740859120118,71.3537022165566,64.3662539974034,72.3796663883118
MOD03.A2022205.0200.061.2022205090948.hdf,2022-07-24 02:00,61,120195,D,171.449483495608,72.9976301354825,50.1322769976024,114.597729441212,113.680225184335,171.452304826697,150.874958020997,116.332747295763,72.8600865830162,64.7131767874927,49.9497042144743,54.6183703506097
MOD03.A2022205.0205.061.2022205090944.hdf,2022-07-24 02:05,61,120195,D,150.333394091138,55.0793532854622,33.4562033092888,114.815093876443,115.871048030502,150.335396400172,140.533850970787,114.80075187646,55.088131952605,50.1984373142434,33.3504877852991,36.7934936762957
MOD03.A2022205.0210.061.2022205090934.hdf,2022-07-24 02:10,61,120195,D,140.127790235419,37.1653485202266,16.0239326820503,112.315366668953,114.595332485662,140.132131924863,134.209168638766,112.291110189811,37.1915136548597,33.5264902752037,15.9734636368322,18.9635600370714
MOD03.A2022205.0215.061.2022205090934.hdf,2022-07-24 02:15,61,120195,D,133.96100110813,19.219628501567,-1.82845723045741,108.970470049263,112.184809434226,133.966823483201,129.72812309012,108.954370729503,19.2514036285159,16.0949751948268,-1.8413662017601,1.11204086628299
MOD03.A2022205.0220.061.2022205090935.hdf,2022-07-24 02:20,61,120195,D,129.643905666579,1.23479138459483,-19.7253449752008,104.53982996343,108.910249484863,129.738774894161,126.416100186317,104.532487125639,1.26415121183257,-1.76856699822329,-19.814176592437,-16.5601926182978
MOD03.A2022205.0225.061.2022205090932.hdf,2022-07-24 02:25,61,120195,D,126.432474375951,-16.4867567344473,-37.6335277565242,98.1968246565099,104.55324551128,126.714017898509,124.044976464414,98.1831515774921,-16.4690287766022,-19.6734851233709,-37.8536504682813,-33.9005299029013
MOD03.A2022205.0230.061.2022205090931.hdf,2022-07-24 02:30,61,120195,D,124.081526530792,-33.8303460549033,-55.4808414617018,87.7277438901799,98.2248048689542,124.547365130791,122.803241542697,87.5791238542972,-33.8172858974316,-37.5696412608751,-55.8097932536475,-50.3783544490579
MOD03.A2022205.0235.061.2022205091054.hdf,2022-07-24 02:35,61,120195,B,124.895353017449,-50.3572654806726,-73.3242250489957,66.2068415924861,87.7821061971662,123.452227602139,124.965711276505,65.870751380327,-50.3495071914059,-55.3875260714765,-73.5948349880251,-64.5245317996708
MOD03.A2022205.0240.061.2022205091525.hdf,2022-07-24 02:40,61,120195,N,180,-64.6366676787441,-89.9857026836915,-180,66.356191664262,126.234180376185,-125.964211306328,19.6909173494085,-64.6305172591638,-73.0448637684207,-86.8449323395573,-70.665211353038
MOD03.A2022205.0245.061.2022205091439.hdf,2022-07-24 02:45,61,120195,N,19.8490223620817,-63.0947281419721,-88.879426045491,-135.007287268124,19.8533330887946,-137.471438810545,-77.6653231379731,-23.0215027174276,-71.0053217948572,-86.6999425396837,-70.4060783203167,-62.806787702853
MOD03.A2022205.0250.061.2022205091123.hdf,2022-07-24 02:50,61,120195,N,-23.58070948381,-48.3674418279648,-71.0333789903708,-77.9130610551193,-23.5790163360054,-78.6466794174295,-76.4809521200302,-42.4077453174711,-63.1528735987675,-70.8955780886395,-52.7276016320825,-48.1738438724522
MOD03.A2022205.0255.061.2022205090935.hdf,2022-07-24 02:55,61,120195,N,-42.9936664930872,-31.6987483084244,-53.1915054201332,-77.9377759424422,-42.99256812921,-76.7662499890302,-77.952934920311,-52.2571692318745,-48.4385822515295,-53.2022378938231,-34.9721148122166,-31.5794849006355
